664159 	 550946 	 7 
665845 	 557965 	 6 
597173 	 575538 	 13 
618600 	 551446 	 8 
635690 	 608046 	 13 
588100 	 557588 	 13 
582015 	 546191 	 8 
604678 	 574577 	 13 
572029 	 518313 	 8 
604737 	 574591 	 13 
577728 	 587566 	 13 
602013 	 574722 	 13 
627968 	 574625 	 13 
607269 	 536961 	 8 
603145 	 574795 	 13 
671919 	 571761 	 6 
612184 	 570393 	 13 
600032 	 575310 	 13 
627912 	 593892 	 13 
601967 	 604428 	 13 
591851 	 569051 	 13 
601444 	 572693 	 13 
629718 	 558104 	 8 
661430 	 603567 	 6 
597551 	 556737 	 8 
601182 	 582584 	 13 
562704 	 570596 	 13 
605107 	 563429 	 13 
607214 	 575069 	 13 
568824 	 570203 	 13 
612485 	 518009 	 8 
589244 	 573777 	 13 
625579 	 551084 	 8 
560237 	 500154 	 8 
626224 	 569687 	 13 
610666 	 551701 	 8 
597428 	 569940 	 13 
600582 	 599535 	 13 
604168 	 555003 	 8 
613871 	 550423 	 12 
617310 	 551945 	 8 
625728 	 579460 	 13 
606300 	 566708 	 13 
638559 	 558807 	 8 
582176 	 630383 	 13 
544056 	 577786 	 13 
631297 	 578351 	 13 
561574 	 621747 	 13 
604973 	 574773 	 13 
605284 	 556134 	 8 
617910 	 592293 	 13 
555904 	 640401 	 13 
526559 	 509417 	 8 
603849 	 572396 	 13 
598634 	 619900 	 13 
603359 	 589262 	 13 
657455 	 567754 	 6 
614279 	 599251 	 13 
578496 	 631434 	 13 
645171 	 595209 	 13 
688015 	 533535 	 6 
656477 	 573007 	 6 
540029 	 563888 	 13 
597418 	 538362 	 8 
613545 	 574733 	 13 
628696 	 542447 	 8 
604157 	 574191 	 13 
603126 	 497987 	 8 
605850 	 533310 	 8 
596179 	 529556 	 8 
610330 	 552628 	 8 
598184 	 531473 	 8 
620438 	 511694 	 8 
600202 	 622079 	 13 
603021 	 577991 	 13 
515612 	 540643 	 13 
606548 	 574376 	 13 
593490 	 623110 	 13 
607084 	 595500 	 13 
583728 	 563146 	 13 
616044 	 533807 	 8 
624452 	 584622 	 13 
604438 	 574666 	 13 
625709 	 660145 	 13 
601376 	 579831 	 13 
565148 	 557305 	 13 
639418 	 537903 	 6 
612799 	 537497 	 8 
583653 	 652182 	 13 
599808 	 596484 	 13 
605250 	 573272 	 8 
606738 	 601356 	 13 
611044 	 571814 	 13 
575440 	 568511 	 13 
616329 	 529516 	 8 
605927 	 572533 	 13 
609286 	 586782 	 13 
647354 	 579190 	 6 
606929 	 571420 	 13 
562920 	 559223 	 13 
680357 	 620811 	 6 
707100 	 601463 	 6 
604294 	 574368 	 13 
614917 	 600946 	 13 
611508 	 503220 	 8 
603789 	 574474 	 13 
551740 	 588768 	 13 
546031 	 570429 	 13 
569197 	 559307 	 13 
688712 	 568754 	 6 
604067 	 574091 	 13 
606809 	 572101 	 13 
588597 	 622592 	 13 
613840 	 534167 	 8 
576263 	 547239 	 8 
597077 	 568196 	 13 
601339 	 571609 	 13 
606011 	 569426 	 13 
593398 	 559764 	 13 
593166 	 622725 	 13 
609796 	 532982 	 8 
712648 	 607541 	 6 
585048 	 505097 	 8 
525967 	 565687 	 13 
660327 	 585901 	 6 
607604 	 573951 	 13 
604001 	 573587 	 13 
591484 	 571087 	 13 
613868 	 585089 	 13 
645464 	 660478 	 13 
538571 	 654649 	 13 
555429 	 604551 	 13 
597620 	 586226 	 13 
586097 	 567445 	 13 
545235 	 539822 	 13 
649088 	 575733 	 6 
599123 	 616977 	 13 
563763 	 559454 	 13 
617717 	 613939 	 13 
618869 	 577243 	 13 
567188 	 560044 	 13 
636628 	 533309 	 8 
560362 	 567914 	 13 
595014 	 632844 	 13 
605876 	 550640 	 8 
604352 	 573425 	 13 
600679 	 599545 	 13 
596891 	 579476 	 13 
614943 	 540976 	 8 
604415 	 571400 	 13 
603698 	 573585 	 13 
658199 	 568743 	 6 
